latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,Exceeding allowed transaction limit.
14.1353,104.829,328.8,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,74.0,6.03,307.4,14.6,D,0.0,
14.1326,104.8093,321.2,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,32.0,6.03,306.6,5.6,D,0.0,
14.1016,104.5851,324.0,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,64.0,6.03,307.4,10.7,D,0.0,
14.0273,104.0534,333.4,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,81.0,6.03,304.4,25.2,D,0.0,
14.1741,105.0718,326.9,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,58.0,6.03,310.1,14.7,D,0.0,
14.1234,104.8106,321.3,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,48.0,6.03,306.6,6.6,D,0.0,
14.1844,104.8665,321.4,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,54.0,6.03,306.2,7.3,D,0.0,
14.1831,104.8566,330.7,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,80.0,6.03,306.2,18.9,D,0.0,
14.171,104.7679,324.7,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,71.0,6.03,307.8,8.9,D,0.0,
14.0493,103.5623,324.2,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,64.0,6.03,307.9,9.2,D,0.0,
14.3619,105.7985,327.8,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,79.0,6.03,306.3,18.6,D,0.0,
14.2345,104.7621,336.6,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,85.0,6.03,309.5,25.5,D,0.0,
14.2638,104.9092,334.2,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,83.0,6.03,307.3,25.0,D,0.0,
14.2291,104.6531,328.5,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,76.0,6.03,309.7,12.9,D,0.0,
14.2041,104.4692,319.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,52.0,6.03,307.0,6.4,D,0.0,
14.261,104.8185,329.8,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,77.0,6.03,306.3,17.3,D,0.0,
14.2596,104.7384,333.1,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,82.0,6.03,310.0,21.1,D,0.0,
14.3582,105.7946,328.9,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,77.0,6.03,307.6,19.6,D,0.0,
14.2131,104.3994,320.5,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,52.0,6.03,306.8,5.8,D,0.0,
14.0158,102.999,324.5,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,59.0,6.03,309.6,6.0,D,0.0,
14.2701,104.7469,340.8,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,89.0,6.03,309.5,33.2,D,0.0,
14.2688,104.737,334.6,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,83.0,6.03,309.8,23.0,D,0.0,
14.0759,103.3547,327.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,71.0,6.03,307.5,10.7,D,0.0,
14.0641,103.2722,325.0,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,62.0,6.03,308.9,8.1,D,0.0,
14.0602,103.2448,331.1,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,78.0,6.03,307.2,15.0,D,0.0,
14.0484,103.1624,330.3,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,77.0,6.03,310.5,13.7,D,0.0,
14.2794,104.7455,326.5,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,65.0,6.03,309.2,11.7,D,0.0,
14.0982,103.5764,330.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,77.0,6.03,307.6,17.6,D,0.0,
14.238,104.4446,330.0,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,78.0,6.03,307.9,16.4,D,0.0,
13.95,102.9315,328.6,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,74.0,6.03,309.9,10.4,D,0.0,
14.0508,103.6372,323.4,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,48.0,6.03,309.4,7.1,D,0.0,
14.1697,104.7581,329.1,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,77.0,6.03,307.8,14.5,D,0.0,
14.167,104.7385,341.9,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,89.0,6.03,310.8,33.8,D,0.0,
14.1657,104.7287,337.3,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,86.0,6.03,310.8,25.3,D,0.0,
14.1484,104.6021,348.0,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,93.0,6.03,309.4,45.8,D,0.0,
14.0473,103.8075,323.0,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,38.0,6.03,306.4,6.7,D,0.0,
14.0759,103.9453,330.1,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,76.0,6.03,308.3,14.9,D,0.0,
13.9413,102.9984,330.5,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,77.0,6.03,310.6,12.4,D,0.0,
13.94,102.9892,325.4,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,38.0,6.03,310.3,6.9,D,0.0,
14.0495,103.628,338.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,86.0,6.03,307.5,28.1,D,0.0,
14.2272,104.972,320.3,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,61.0,6.03,306.1,7.1,D,0.0,
14.0796,103.9068,345.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,91.0,6.03,309.4,38.8,D,0.0,
14.0783,103.8975,331.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,79.0,6.03,308.2,15.9,D,0.0,
14.021,103.4915,324.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,66.0,6.03,308.2,8.5,D,0.0,
14.0092,103.4089,326.3,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,60.0,6.03,311.0,10.0,D,0.0,
14.0873,103.8962,328.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,74.0,6.03,308.6,12.2,D,0.0,
14.086,103.8869,340.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,88.0,6.03,311.5,30.3,D,0.0,
14.056,103.6741,323.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,60.0,6.03,308.9,6.0,D,0.0,
14.0547,103.6649,324.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,65.0,6.03,310.1,7.6,D,0.0,
14.1519,104.4248,334.4,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,82.0,6.03,306.8,21.5,D,0.0,
14.0319,104.4188,320.6,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,36.0,6.03,306.2,8.0,D,0.0,
12.3836,103.2374,324.1,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,60.0,6.03,306.7,8.9,D,0.0,
12.7313,105.6634,324.5,1.1,1.1,2020-01-14,634.0,Aqua,MODIS,64.0,6.03,305.2,14.7,D,0.0,
12.2979,103.0333,335.0,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,85.0,6.03,307.1,23.3,D,0.0,
12.2966,103.0241,324.4,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,68.0,6.03,304.6,10.9,D,0.0,
12.2873,102.96,320.2,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,35.0,6.03,306.3,7.0,D,0.0,
12.6963,105.8024,322.3,1.1,1.1,2020-01-14,634.0,Aqua,MODIS,41.0,6.03,306.4,9.3,D,0.0,
12.3254,103.1597,321.0,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,57.0,6.03,304.7,7.7,D,0.0,
12.3056,103.0228,329.1,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,77.0,6.03,304.4,16.3,D,0.0,
12.401,103.6224,325.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,75.0,6.03,307.9,8.8,D,0.0,
12.3448,103.2313,321.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,51.0,6.03,305.6,6.5,D,0.0,
12.3435,103.2222,324.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,67.0,6.03,307.7,10.3,D,0.0,
12.7394,105.6518,319.0,1.1,1.1,2020-01-14,634.0,Aqua,MODIS,43.0,6.03,303.5,8.9,D,0.0,
12.3975,103.2074,330.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,80.0,6.03,306.8,18.9,D,0.0,
12.3962,103.1983,343.2,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,90.0,6.03,305.7,38.5,D,0.0,
12.7686,105.7961,348.8,1.1,1.1,2020-01-14,634.0,Aqua,MODIS,94.0,6.03,309.6,57.5,D,0.0,
12.7672,105.7856,328.6,1.1,1.1,2020-01-14,634.0,Aqua,MODIS,58.0,6.03,305.1,18.2,D,0.0,
12.7544,105.6918,320.4,1.1,1.1,2020-01-14,634.0,Aqua,MODIS,53.0,6.03,306.2,10.1,D,0.0,
12.7639,105.6904,371.6,1.1,1.1,2020-01-14,634.0,Aqua,MODIS,100.0,6.03,308.9,135.2,D,0.0,
12.7625,105.6801,337.0,1.1,1.1,2020-01-14,634.0,Aqua,MODIS,85.0,6.03,306.2,34.7,D,0.0,
12.2993,103.0424,329.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,50.0,6.03,307.1,15.4,D,0.0,
13.3535,105.303,333.3,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,82.0,6.03,306.7,25.7,D,0.0,
12.9844,102.8132,323.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,72.0,6.03,308.9,7.9,D,0.0,
13.3102,105.1252,328.1,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,76.0,6.03,308.3,15.7,D,0.0,
12.5595,104.9446,330.1,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,71.0,6.03,310.9,19.5,D,0.0,
12.3348,103.2886,319.2,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,51.0,6.03,305.1,7.4,D,0.0,
12.3335,103.2795,320.4,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,56.0,6.03,305.5,7.6,D,0.0,
12.3098,103.1155,321.5,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,47.0,6.03,306.9,7.1,D,0.0,
13.0859,105.2875,320.5,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,43.0,6.03,307.3,7.2,D,0.0,
12.773,103.0041,328.2,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,69.0,6.03,310.8,13.6,D,0.0,
12.7812,102.9973,325.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,75.0,6.03,311.1,9.1,D,0.0,
12.8226,103.0937,334.5,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,84.0,6.03,310.8,20.0,D,0.0,
12.7977,105.8671,332.4,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,81.0,6.03,306.9,25.6,D,0.0,
12.8213,103.0845,332.4,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,82.0,6.03,310.5,17.0,D,0.0,
