,date,PM2.5,date_utc,url_date,temp
1328,2020-08-25 08:00:00,22.0,2020-08-25 01:00:00,2020/08/25/0100Z,27.9
1329,2020-08-25 09:00:00,17.0,2020-08-25 02:00:00,2020/08/25/0200Z,27.9
1330,2020-08-25 10:00:00,19.0,2020-08-25 03:00:00,2020/08/25/0300Z,30.8
1331,2020-08-25 11:00:00,22.0,2020-08-25 04:00:00,2020/08/25/0400Z,30.8
1332,2020-08-25 12:00:00,23.0,2020-08-25 05:00:00,2020/08/25/0500Z,30.8
1333,2020-08-25 13:00:00,20.0,2020-08-25 06:00:00,2020/08/25/0600Z,32.9
1334,2020-08-25 14:00:00,22.0,2020-08-25 07:00:00,2020/08/25/0700Z,32.9
1335,2020-08-25 15:00:00,22.0,2020-08-25 08:00:00,2020/08/25/0800Z,32.9
1336,2020-08-25 16:00:00,28.0,2020-08-25 09:00:00,2020/08/25/0900Z,32.8
1337,2020-08-25 17:00:00,25.0,2020-08-25 10:00:00,2020/08/25/1000Z,32.8
1338,2020-08-25 18:00:00,22.0,2020-08-25 11:00:00,2020/08/25/1100Z,32.8
1339,2020-08-25 19:00:00,18.0,2020-08-25 12:00:00,2020/08/25/1200Z,31.1
1340,2020-08-25 20:00:00,19.0,2020-08-25 13:00:00,2020/08/25/1300Z,31.1
1341,2020-08-25 21:00:00,12.0,2020-08-25 14:00:00,2020/08/25/1400Z,31.1
1342,2020-08-25 22:00:00,15.0,2020-08-25 15:00:00,2020/08/25/1500Z,29.4
1343,2020-08-25 23:00:00,17.0,2020-08-25 16:00:00,2020/08/25/1600Z,29.4
1344,2020-08-26 00:00:00,17.0,2020-08-25 17:00:00,2020/08/25/1700Z,29.4
1345,2020-08-26 01:00:00,17.0,2020-08-25 18:00:00,2020/08/25/1800Z,29.0
1346,2020-08-26 02:00:00,10.0,2020-08-25 19:00:00,2020/08/25/1900Z,29.0
1347,2020-08-26 03:00:00,12.0,2020-08-25 20:00:00,2020/08/25/2000Z,29.0
1348,2020-08-26 04:00:00,17.0,2020-08-25 21:00:00,2020/08/25/2100Z,28.5
1349,2020-08-26 05:00:00,19.0,2020-08-25 22:00:00,2020/08/25/2200Z,28.5
1350,2020-08-26 06:00:00,20.0,2020-08-25 23:00:00,2020/08/25/2300Z,28.5
1351,2020-08-26 07:00:00,24.0,2020-08-26 00:00:00,2020/08/26/0000Z,28.1
1352,2020-08-26 08:00:00,27.0,2020-08-26 01:00:00,2020/08/26/0100Z,28.1
1353,2020-08-26 09:00:00,15.0,2020-08-26 02:00:00,2020/08/26/0200Z,28.1
1354,2020-08-26 10:00:00,20.0,2020-08-26 03:00:00,2020/08/26/0300Z,31.0
1355,2020-08-26 11:00:00,23.0,2020-08-26 04:00:00,2020/08/26/0400Z,31.0
1356,2020-08-26 12:00:00,11.0,2020-08-26 05:00:00,2020/08/26/0500Z,31.0
1357,2020-08-26 13:00:00,24.0,2020-08-26 06:00:00,2020/08/26/0600Z,33.4
1358,2020-08-26 14:00:00,22.0,2020-08-26 07:00:00,2020/08/26/0700Z,33.4
1359,2020-08-26 15:00:00,23.0,2020-08-26 08:00:00,2020/08/26/0800Z,33.4
1360,2020-08-26 16:00:00,22.0,2020-08-26 09:00:00,2020/08/26/0900Z,33.6
1361,2020-08-26 17:00:00,24.0,2020-08-26 10:00:00,2020/08/26/1000Z,33.6
1362,2020-08-26 18:00:00,21.0,2020-08-26 11:00:00,2020/08/26/1100Z,33.6
1363,2020-08-26 19:00:00,20.0,2020-08-26 12:00:00,2020/08/26/1200Z,31.7
1364,2020-08-26 20:00:00,19.0,2020-08-26 13:00:00,2020/08/26/1300Z,31.7
1365,2020-08-26 21:00:00,13.0,2020-08-26 14:00:00,2020/08/26/1400Z,31.7
1366,2020-08-26 22:00:00,16.0,2020-08-26 15:00:00,2020/08/26/1500Z,30.0
1367,2020-08-26 23:00:00,14.0,2020-08-26 16:00:00,2020/08/26/1600Z,30.0
1368,2020-08-27 00:00:00,17.0,2020-08-26 17:00:00,2020/08/26/1700Z,30.0
1369,2020-08-27 01:00:00,21.0,2020-08-26 18:00:00,2020/08/26/1800Z,29.2
1370,2020-08-27 02:00:00,16.0,2020-08-26 19:00:00,2020/08/26/1900Z,29.2
1371,2020-08-27 03:00:00,13.0,2020-08-26 20:00:00,2020/08/26/2000Z,29.2
1372,2020-08-27 04:00:00,14.0,2020-08-26 21:00:00,2020/08/26/2100Z,27.4
1373,2020-08-27 05:00:00,17.0,2020-08-26 22:00:00,2020/08/26/2200Z,27.4
1374,2020-08-27 06:00:00,18.0,2020-08-26 23:00:00,2020/08/26/2300Z,27.4
1375,2020-08-27 07:00:00,23.0,2020-08-27 00:00:00,2020/08/27/0000Z,27.1
1376,2020-08-27 08:00:00,20.0,2020-08-27 01:00:00,2020/08/27/0100Z,27.1
1377,2020-08-27 09:00:00,22.0,2020-08-27 02:00:00,2020/08/27/0200Z,27.1
1378,2020-08-27 10:00:00,18.0,2020-08-27 03:00:00,2020/08/27/0300Z,30.7
1379,2020-08-27 11:00:00,19.0,2020-08-27 04:00:00,2020/08/27/0400Z,30.7
1380,2020-08-27 12:00:00,16.0,2020-08-27 05:00:00,2020/08/27/0500Z,30.7
1381,2020-08-27 13:00:00,15.0,2020-08-27 06:00:00,2020/08/27/0600Z,32.7
1382,2020-08-27 14:00:00,24.0,2020-08-27 07:00:00,2020/08/27/0700Z,32.7
