,date,PM2.5,date_utc,url_date,temp,wind
8211,2021-06-08 03:00:00,19.0,2021-06-07 20:00:00,2021/06/07/2000Z,22.8,275° @ 17
8212,2021-06-08 04:00:00,,2021-06-07 21:00:00,2021/06/07/2100Z,22.7,270° @ 15
8213,2021-06-08 05:00:00,19.0,2021-06-07 22:00:00,2021/06/07/2200Z,22.8,260° @ 16
8214,2021-06-08 06:00:00,19.0,2021-06-07 23:00:00,2021/06/07/2300Z,22.9,265° @ 14
8215,2021-06-08 07:00:00,18.0,2021-06-08 00:00:00,2021/06/08/0000Z,23.5,265° @ 12
8216,2021-06-08 08:00:00,18.0,2021-06-08 01:00:00,2021/06/08/0100Z,24.1,265° @ 10
8217,2021-06-08 09:00:00,19.0,2021-06-08 02:00:00,2021/06/08/0200Z,24.8,260° @ 8
8218,2021-06-08 10:00:00,19.0,2021-06-08 03:00:00,2021/06/08/0300Z,26.2,250° @ 8
8219,2021-06-08 11:00:00,19.0,2021-06-08 04:00:00,2021/06/08/0400Z,29.1,235° @ 7
8220,2021-06-08 12:00:00,19.0,2021-06-08 05:00:00,2021/06/08/0500Z,29.0,215° @ 7
8221,2021-06-08 13:00:00,20.0,2021-06-08 06:00:00,2021/06/08/0600Z,29.2,210° @ 8
8222,2021-06-08 14:00:00,19.0,2021-06-08 07:00:00,2021/06/08/0700Z,28.4,200° @ 8
8223,2021-06-08 15:00:00,19.0,2021-06-08 08:00:00,2021/06/08/0800Z,27.3,180° @ 9
8224,2021-06-08 16:00:00,19.0,2021-06-08 09:00:00,2021/06/08/0900Z,25.4,175° @ 9
8225,2021-06-08 17:00:00,19.0,2021-06-08 10:00:00,2021/06/08/1000Z,24.5,175° @ 9
8226,2021-06-08 18:00:00,,2021-06-08 11:00:00,2021/06/08/1100Z,24.0,175° @ 9
8227,2021-06-08 19:00:00,19.0,2021-06-08 12:00:00,2021/06/08/1200Z,23.6,160° @ 7
8228,2021-06-08 20:00:00,19.0,2021-06-08 13:00:00,2021/06/08/1300Z,23.5,150° @ 8
8229,2021-06-08 21:00:00,,2021-06-08 14:00:00,2021/06/08/1400Z,23.3,150° @ 9
8230,2021-06-08 22:00:00,18.0,2021-06-08 15:00:00,2021/06/08/1500Z,23.1,155° @ 10
8231,2021-06-08 23:00:00,17.0,2021-06-08 16:00:00,2021/06/08/1600Z,22.9,160° @ 8
8232,2021-06-09 00:00:00,17.0,2021-06-08 17:00:00,2021/06/08/1700Z,22.9,175° @ 11
8233,2021-06-09 01:00:00,17.0,2021-06-08 18:00:00,2021/06/08/1800Z,22.8,185° @ 11
8234,2021-06-09 02:00:00,16.0,2021-06-08 19:00:00,2021/06/08/1900Z,22.6,200° @ 14
8235,2021-06-09 03:00:00,16.0,2021-06-08 20:00:00,2021/06/08/2000Z,22.5,210° @ 13
8236,2021-06-09 04:00:00,,2021-06-08 21:00:00,2021/06/08/2100Z,22.4,220° @ 10
8237,2021-06-09 05:00:00,16.0,2021-06-08 22:00:00,2021/06/08/2200Z,22.3,250° @ 12
8238,2021-06-09 06:00:00,15.0,2021-06-08 23:00:00,2021/06/08/2300Z,22.2,260° @ 11
8239,2021-06-09 07:00:00,15.0,2021-06-09 00:00:00,2021/06/09/0000Z,22.7,240° @ 10
8240,2021-06-09 08:00:00,15.0,2021-06-09 01:00:00,2021/06/09/0100Z,22.9,230° @ 11
8241,2021-06-09 09:00:00,,2021-06-09 02:00:00,2021/06/09/0200Z,23.3,235° @ 13
8242,2021-06-09 10:00:00,14.0,2021-06-09 03:00:00,2021/06/09/0300Z,23.9,230° @ 11
8243,2021-06-09 11:00:00,,2021-06-09 04:00:00,2021/06/09/0400Z,24.6,220° @ 12
8244,2021-06-09 12:00:00,14.0,2021-06-09 05:00:00,2021/06/09/0500Z,25.2,210° @ 13
8245,2021-06-09 13:00:00,,2021-06-09 06:00:00,2021/06/09/0600Z,25.2,220° @ 12
8246,2021-06-09 14:00:00,,2021-06-09 07:00:00,2021/06/09/0700Z,25.0,230° @ 11
8247,2021-06-09 15:00:00,,2021-06-09 08:00:00,2021/06/09/0800Z,25.1,225° @ 11
8248,2021-06-09 16:00:00,12.0,2021-06-09 09:00:00,2021/06/09/0900Z,24.6,220° @ 12
8249,2021-06-09 17:00:00,12.0,2021-06-09 10:00:00,2021/06/09/1000Z,24.1,225° @ 12
8250,2021-06-09 18:00:00,,2021-06-09 11:00:00,2021/06/09/1100Z,23.7,230° @ 14
